avg_sale_price,color,highest_bid,lowest_ask,number_of_sales,price_premium,product_title,release_date,retail_price,style,volatility
1181, Black/Black-Parachute Beige-Petra Brown ,1863,1658,6684,1166.7,Nike SB Dunk Low Travis Scott (Regular Box), 02/29/2020 ,150, CT5053-001 ,5.5
206, Ghost Green/Black ,251,149,5215,35.1,Nike Air Max 90 Green Camo, 05/15/2020 ,140, CW4039-300 ,11.7
294, White/Orange ,520,450,5146,398,Nike Dunk Low SP Syracuse (2020), 03/14/2020 ,100, CU1726-101 ,6.4
580, Multi-Color/Muted Bronze-Fossil ,635,511,12172,278.1,Nike Air Force 1 Low Travis Scott Cactus Jack, 11/16/2019 ,160, CN2405-900 ,4.8
280, White/Varsity Royal ,495,445,4580,522,Nike Dunk Low SP Kentucky (2020), 03/14/2020 ,100, CU1726-100 ,8.9
280, Varsity Maize/Pine Green-White ,330,285,3719,233,Nike Dunk Low Brazil (2020), 05/21/2020 ,100, CU1727-700 ,5.7
242, White/White-White ,812,298,14310,310,Nike Air Force 1 Low Supreme White, 03/05/2020 ,96, CU9225-100 ,8.5
219, Infrared/Black-Dark Sage-Baroque Brown ,270,138,11107,17.1,Nike Air Max 90 Reverse Duck Camo (2020), 03/26/2020 ,140, CW6024-600 ,14.5
320, White/White ,533,299,12576,141.9,Nike LD Waffle Sacai White Nylon, 03/10/2020 ,160, BV0073-101 ,15.5
246, Black/Black ,280,216,10079,76.3,Nike LD Waffle Sacai Black Nylon, 03/10/2020 ,160, BV0073-002 ,7.5
123, Anthracite/Black-White ,117,80,5350,-40.6,Nike React Element 87 Anthracite Black, 06/14/2018 ,160, AQ1090-001 ,12.6
523, Light Cream/Dark Hazel-Mica Green-Starfish ,535,450,6824,192.9,Nike Air Max 270 React ENG Travis Scott Cactus Trails, 05/29/2020 ,170, CT2864-200 ,2.9
129, Black/Bright Crimson ,250,109,6918,-13.8,Nike Air Max 2 Light Atmos, 04/05/2019 ,160, CJ6200-001/BV7406-001 ,17.1
110, Black/Sail-White ,115,101,12298,12,Nike Blazer Mid 77 Vintage White Black, 03/25/2019 ,100, BQ6806-100 ,6.8
175, Black/Varsity Red-Varsity Maize ,208,103,918,-15,Nike LeBron 7 Fairfax Away (2020), 03/06/2020 ,200, CU5646-001 ,37.5
164, Wolf Grey/Multi-Color ,205,165,1143,77.3,Nike PG 2.5 Playstation Wolf Grey, 12/01/2018 ,110, BQ8388-001 ,10.5
297, Multi-Color/Multi-Color ,361,284,1165,114.7,Nike Air Max 1 Susan Missing Link, 04/12/2019 ,170, CK6643-100 ,18.6
187, White/Elemental Gold-Dark Hazel-Black ,240,202,1323,13.3,Nike Air Force 1 Low Retro Ivory Snake, 05/22/2019 ,150, AO1635-100 ,17.5
437, Black/White-Cone ,505,299,1611,238.2,Nike Zoom Fly Off-White Black Silver, 10/13/2018 ,170, AJ4588-001 ,12.9
126, Black/Black-Fossil ,150,73,1903,,Nike Air Fear Of God Moccasin Black, 05/17/2019 ,170, AT8086-002 ,15.5
161, Blue Jay/Summit White-Black ,180,104,2302,13.1,Nike Daybreak Undercover Blue Jay, 06/07/2019 ,160, BV4594-400 ,13.5
245, Phantom/Phantom-Black-Clear ,310,245,4460,27.5,Nike Air Force 1 Gore-tex High Phantom White, 11/01/2019 ,200, CQ7211-002 ,17.7
291, Metallic Silver/Metallic Silver-Black ,317,275,6974,170,Nike SB Dunk Low Supreme Jewel Swoosh Silver, 09/14/2019 ,110, CK3480-001 ,4.9
169, Pink Tint/Guava Ice ,200,140,1116,37.9,Nike Kyrie 6 Concepts Khepri (Regular Box), 01/10/2019 ,140, CU8879-600/CU8880-600 ,5.3
557, Wolf Grey/Reflect Silver ,600,520,1433,78.6,Nike Adapt BB Mag (US Charger), 05/29/2019 ,350, AO2582-002 ,7.6
600, Blue/Multi ,700,602,3131,387.1,Nike LD Waffle Sacai Blue Multi, 05/30/2019 ,155, BV0073-400 ,6.6
165, White/Red-Green ,240,159,3356,48,Nike SB Dunk High Paul Rodriguez Mexico, 01/21/2020 ,125, CT6680-100 ,5.7
492, University Blue/White-Gum ,415,320,3945,64.4,Nike Air Force 1 Low CLOT Blue Silk, 11/11/2019 ,250, CJ5290-400 ,4.1
795, White/Total Orange-Black ,930,700,903,376,Nike Air Vapormax Off-White 2018, 04/14/2018 ,250, AA3831-100 ,12.1
126, White/White-Lucid Green-Sail ,171,144,1900,85,Nike SB Dunk Low Ben-G, 10/05/2019 ,100, CU3846-100 ,22.3
160, White/Cement Grey-Black-Infrared ,300,219,3349,118,Nike SB Dunk Low Infrared Orange Label, 01/20/2020 ,100, CD2563-004 ,10.4
565, Black/Anthracite-White-Gunsmoke ,690,526,6856,368.8,Nike LD Waffle sacai Black, 09/12/2019 ,160, BV0073-001 ,5.8
355, Tulip Pink/Racer Pink ,500,339,1794,226.5,Nike Zoom Fly Off-White Pink, 11/28/2018 ,170, AJ4588-600 ,13
320, White/Cyber-Purple-Red ,381,159,2826,105.7,Nike Kobe 5 Protro Chaos, 01/03/2019 ,175, CD4991-100 ,4.7
271, White/Metallic Silver-Sail-Safety Orange ,301,253,4543,94.4,Nike Zoom Terra Kiger 5 Off-White White (W), 06/24/2019 ,180, CD8179-100 ,10.3
113, Sail/Sail-Sail ,115,95,580,-27.3,Nike Air Max 90 Recraft Sail, 12/21/2019 ,150, CT2007-100 ,5.9
107, White/Particle Grey-Hyper Grape ,115,84,746,-40.7,Nike Air Max 90 Recraft Hyper Grape (W), 01/09/2020 ,140, CD0490-103 ,18
913, Volt/Hyper Jade-Cone-Black ,975,798,1362,458.8,Nike Air Force 1 Low Off-White Volt, 12/19/2018 ,170, AO4606-700 ,9.2
1051, Varsity Red/White ,1576,949,114,766.3,"Nike Air More Uptempo Supreme ""Suptempo"" Red", 04/27/2017 ,190, 902290-600 ,15.1
1374, Nightshade/Dark Slate ,2300,1700,47,1530.4,Nike Dunk SB Low Blue Lobster, 06/20/2009 ,92, 313170-342 ,22.4
490, White/Black ,450,550,50,60.4,Nike Kobe 10 Elite HTM Shark Jaw, 10/01/2015 ,250, 805937-101 ,36.5
541, White/Black-Hot Lava-Volt ,520,488,54,200,Nike Air Presto Acronym Volt, 09/15/2016 ,200, 844672-100 ,13.9
942, Retro/Black-Pink Flash-Filament Green ,1200,860,56,696.9,Nike LeBron 8 South Beach (Pre-Heat), 10/16/2010 ,160, 417098-401 ,21.8
